point_id,ref_tmc2_x,ref_tmc2_y,src_iirs_x,src_iirs_y
1,101.71,40.0,48.55,45.63
2,163.43,40.0,105.93,37.05
3,225.14,40.0,163.3,28.48
4,286.86,40.0,220.68,19.9
5,348.57,40.0,278.05,11.33
6,101.71,101.71,57.13,103.0
7,163.43,101.71,114.5,94.43
8,225.14,101.71,171.88,85.85
9,286.86,101.71,229.25,77.28
10,348.57,101.71,286.62,68.7
11,410.29,101.71,344.0,60.13
12,101.71,163.43,65.7,160.38
13,163.43,163.43,123.08,151.8
14,225.14,163.43,180.45,143.23
15,286.86,163.43,237.83,134.65
16,348.57,163.43,295.2,126.08
17,410.29,163.43,352.57,117.5
18,40.0,225.14,16.9,226.32
19,101.71,225.14,74.28,217.75
20,163.43,225.14,131.65,209.17
21,225.14,225.14,189.03,200.6
22,286.86,225.14,246.4,192.03
23,348.57,225.14,303.77,183.45
24,410.29,225.14,361.15,174.88
25,40.0,286.86,25.48,283.7
26,101.71,286.86,82.85,275.12
27,163.43,286.86,140.23,266.55
28,225.14,286.86,197.6,257.97
29,286.86,286.86,254.97,249.4
30,348.57,286.86,312.35,240.83
31,410.29,286.86,369.72,232.25
32,40.0,348.57,34.05,341.07
33,101.71,348.57,91.43,332.5
34,163.43,348.57,148.8,323.92
35,225.14,348.57,206.17,315.35
36,286.86,348.57,263.55,306.77
37,348.57,348.57,320.92,298.2
38,410.29,348.57,378.3,289.62
39,101.71,410.29,100.0,389.87
40,163.43,410.29,157.38,381.3
41,225.14,410.29,214.75,372.72
42,286.86,410.29,272.12,364.15
43,348.57,410.29,329.5,355.57
44,410.29,410.29,386.87,347.0
