point_id,ref_tmc2_x,ref_tmc2_y,src_iirs_x,src_iirs_y
1,101.71,101.71,58.85,50.38
2,163.43,101.71,118.0,47.08
3,225.14,101.71,177.16,43.77
4,286.86,101.71,236.31,40.46
5,348.57,101.71,295.46,37.16
6,410.29,101.71,354.62,33.85
7,101.71,163.43,62.16,109.54
8,163.43,163.43,121.31,106.23
9,225.14,163.43,180.46,102.92
10,286.86,163.43,239.62,99.62
11,348.57,163.43,298.77,96.31
12,410.29,163.43,357.92,93.0
13,101.71,225.14,65.46,168.69
14,163.43,225.14,124.62,165.38
15,225.14,225.14,183.77,162.08
16,286.86,225.14,242.92,158.77
17,348.57,225.14,302.08,155.46
18,410.29,225.14,361.23,152.16
19,101.71,286.86,68.77,227.84
20,163.43,286.86,127.92,224.54
21,225.14,286.86,187.08,221.23
22,286.86,286.86,246.23,217.92
23,348.57,286.86,305.38,214.62
24,410.29,286.86,364.54,211.31
25,40.0,348.57,12.92,290.31
26,101.71,348.57,72.08,287.0
27,163.43,348.57,131.23,283.69
28,225.14,348.57,190.38,280.38
29,286.86,348.57,249.54,277.08
30,348.57,348.57,308.69,273.77
31,410.29,348.57,367.84,270.46
32,40.0,410.29,16.23,349.46
33,101.71,410.29,75.38,346.15
34,163.43,410.29,134.54,342.84
35,225.14,410.29,193.69,339.54
36,286.86,410.29,252.84,336.23
37,348.57,410.29,312.0,332.92
38,410.29,410.29,371.15,329.62
39,410.29,472.0,374.46,388.77
