point_id,ref_tmc2_x,ref_tmc2_y,src_iirs_x,src_iirs_y
1,410.29,40.0,365.06,13.36
2,101.71,101.71,39.19,43.65
3,163.43,101.71,103.03,50.36
4,225.14,101.71,166.86,57.07
5,286.86,101.71,230.69,63.78
6,348.57,101.71,294.52,70.49
7,410.29,101.71,358.35,77.19
8,101.71,163.43,32.49,107.48
9,163.43,163.43,96.32,114.19
10,225.14,163.43,160.15,120.9
11,286.86,163.43,223.98,127.61
12,348.57,163.43,287.81,134.32
13,410.29,163.43,351.64,141.03
14,101.71,225.14,25.78,171.31
15,163.43,225.14,89.61,178.02
16,225.14,225.14,153.44,184.73
17,286.86,225.14,217.27,191.44
18,348.57,225.14,281.1,198.15
19,410.29,225.14,344.93,204.86
20,101.71,286.86,19.07,235.14
21,163.43,286.86,82.9,241.85
22,225.14,286.86,146.73,248.56
23,286.86,286.86,210.56,255.27
24,348.57,286.86,274.39,261.98
25,410.29,286.86,338.22,268.69
26,101.71,348.57,12.36,298.97
27,163.43,348.57,76.19,305.68
28,225.14,348.57,140.02,312.39
29,286.86,348.57,203.85,319.1
30,348.57,348.57,267.68,325.81
31,410.29,348.57,331.51,332.52
32,163.43,410.29,69.48,369.51
33,225.14,410.29,133.31,376.22
34,286.86,410.29,197.14,382.93
35,348.57,410.29,260.97,389.64
