point_id,ref_tmc2_x,ref_tmc2_y,src_iirs_x,src_iirs_y
1,101.71,101.71,38.5,20.13
2,163.43,101.71,101.38,23.2
3,225.14,101.71,164.25,26.28
4,286.86,101.71,227.12,29.35
5,348.57,101.71,290.0,32.43
6,410.29,101.71,352.87,35.5
7,101.71,163.43,35.43,83.0
8,163.43,163.43,98.3,86.08
9,225.14,163.43,161.18,89.15
10,286.86,163.43,224.05,92.23
11,348.57,163.43,286.92,95.3
12,410.29,163.43,349.8,98.38
13,101.71,225.14,32.35,145.88
14,163.43,225.14,95.23,148.95
15,225.14,225.14,158.1,152.03
16,286.86,225.14,220.97,155.1
17,348.57,225.14,283.85,158.18
18,410.29,225.14,346.72,161.25
19,101.71,286.86,29.28,208.75
20,163.43,286.86,92.15,211.82
21,225.14,286.86,155.03,214.9
22,286.86,286.86,217.9,217.97
23,348.57,286.86,280.77,221.05
24,410.29,286.86,343.65,224.12
25,101.71,348.57,26.2,271.62
26,163.43,348.57,89.08,274.7
27,225.14,348.57,151.95,277.77
28,286.86,348.57,214.82,280.85
29,348.57,348.57,277.7,283.92
30,410.29,348.57,340.57,287.0
31,101.71,410.29,23.13,334.5
32,163.43,410.29,86.0,337.57
33,225.14,410.29,148.88,340.65
34,286.86,410.29,211.75,343.72
35,348.57,410.29,274.62,346.8
36,410.29,410.29,337.5,349.87
