id,ref_x,ref_y,src_iirs_x,src_iirs_y
1,101.71,101.71,57.85,48.38
2,163.43,101.71,117.0,45.08
3,225.14,101.71,176.16,41.77
4,286.86,101.71,235.31,38.46
5,348.57,101.71,294.46,35.16
6,410.29,101.71,353.62,31.85
7,101.71,163.43,61.16,107.54
8,163.43,163.43,120.31,104.23
9,225.14,163.43,179.46,100.92
10,286.86,163.43,238.62,97.62
11,348.57,163.43,297.77,94.31
12,410.29,163.43,356.92,91.0
13,101.71,225.14,64.46,166.69
14,163.43,225.14,123.62,163.38
15,225.14,225.14,182.77,160.08
16,286.86,225.14,241.92,156.77
17,348.57,225.14,301.08,153.46
18,410.29,225.14,360.23,150.16
19,101.71,286.86,67.77,225.84
20,163.43,286.86,126.92,222.54
21,225.14,286.86,186.08,219.23
22,286.86,286.86,245.23,215.92
23,348.57,286.86,304.38,212.62
24,410.29,286.86,363.54,209.31
25,40.0,348.57,11.92,288.31
26,101.71,348.57,71.08,285.0
27,163.43,348.57,130.23,281.69
28,225.14,348.57,189.38,278.38
29,286.86,348.57,248.54,275.08
30,348.57,348.57,307.69,271.77
31,410.29,348.57,366.84,268.46
32,40.0,410.29,15.23,347.46
33,101.71,410.29,74.38,344.15
34,163.43,410.29,133.54,340.84
35,225.14,410.29,192.69,337.54
36,286.86,410.29,251.84,334.23
37,348.57,410.29,311.0,330.92
38,410.29,410.29,370.15,327.62
39,410.29,472.0,373.46,386.77
