id,ref_x,ref_y,src_iirs_x,src_iirs_y
1,410.29,40.0,363.06,11.36
2,101.71,101.71,37.19,41.65
3,163.43,101.71,101.03,48.36
4,225.14,101.71,164.86,55.07
5,286.86,101.71,228.69,61.78
6,348.57,101.71,292.52,68.49
7,410.29,101.71,356.35,75.19
8,101.71,163.43,30.49,105.48
9,163.43,163.43,94.32,112.19
10,225.14,163.43,158.15,118.9
11,286.86,163.43,221.98,125.61
12,348.57,163.43,285.81,132.32
13,410.29,163.43,349.64,139.03
14,101.71,225.14,23.78,169.31
15,163.43,225.14,87.61,176.02
16,225.14,225.14,151.44,182.73
17,286.86,225.14,215.27,189.44
18,348.57,225.14,279.1,196.15
19,410.29,225.14,342.93,202.86
20,101.71,286.86,17.07,233.14
21,163.43,286.86,80.9,239.85
22,225.14,286.86,144.73,246.56
23,286.86,286.86,208.56,253.27
24,348.57,286.86,272.39,259.98
25,410.29,286.86,336.22,266.69
26,101.71,348.57,10.36,296.97
27,163.43,348.57,74.19,303.68
28,225.14,348.57,138.02,310.39
29,286.86,348.57,201.85,317.1
30,348.57,348.57,265.68,323.81
31,410.29,348.57,329.51,330.52
32,163.43,410.29,67.48,367.51
33,225.14,410.29,131.31,374.22
34,286.86,410.29,195.14,380.93
35,348.57,410.29,258.97,387.64
