Longitude,Latitude,Pixel,Scan
21.6301002,-26.238418,0,0
21.4869607,-26.2375869,50,0
21.343974,-26.236607,100,0
21.201101,-26.2354785,150,0
21.0583031,-26.2342013,200,0
20.9183965,-26.2328053,249,0
21.6295848,-26.1028812,0,50
21.4866184,-26.1020652,50,50
21.3438045,-26.1011013,100,50
21.2011043,-26.0999896,150,50
21.0584789,-26.0987301,200,50
20.9187415,-26.0973522,249,50
21.6290659,-25.9673397,0,100
21.4862713,-25.9665388,50,100
21.3436291,-25.9655908,100,100
21.2011004,-25.9644959,150,100
21.0586464,-25.963254,200,100
20.9190769,-25.9618942,249,100
21.6285527,-25.8318069,0,150
21.4859287,-25.831021,50,150
21.3434569,-25.8300889,100,150
21.2010985,-25.8290106,150,150
21.0588147,-25.8277863,200,150
20.9194119,-25.8264446,249,150
21.6280444,-25.6962742,0,200
21.4855898,-25.6955033,50,200
21.3432872,-25.694587,100,200
21.2010979,-25.6935254,150,200
21.0589831,-25.6923186,200,200
20.9197459,-25.6909948,249,200
21.6275346,-25.560736,0,250
21.4852482,-25.5599801,50,250
21.3431136,-25.5590797,100,250
21.2010922,-25.5580348,150,250
21.0591452,-25.5568455,200,250
20.9200724,-25.5555397,249,250
21.6270262,-25.4251967,0,300
21.4849068,-25.4244558,50,300
21.3429391,-25.4235711,100,300
21.2010844,-25.4225429,150,300
21.059304,-25.4213712,200,300
20.9203943,-25.4200834,249,300
21.626524,-25.2896594,0,350
21.4845705,-25.2889336,50,350
21.3427684,-25.2880649,100,350
21.2010791,-25.2870534,150,350
21.0594642,-25.2858992,200,350
20.9207166,-25.2846294,249,350
21.6260176,-25.1541197,0,400
21.4842287,-25.1534088,50,400
21.3425911,-25.1525559,100,400
21.2010662,-25.151561,150,400
21.0596155,-25.1504243,200,400
20.9210288,-25.1491725,249,400
21.625517,-25.0185708,0,450
21.4838916,-25.017875,50,450
21.3424174,-25.0170379,100,450
21.2010556,-25.0160597,150,450
21.0597679,-25.0149404,200,450
20.9213409,-25.0137066,249,450
21.6250213,-24.8830346,0,500
21.4835582,-24.8823537,50,500
21.342246,-24.8815324,100,500
21.2010462,-24.8805708,150,500
21.0599204,-24.879469,200,500
20.9216521,-24.8782531,249,500
21.624522,-24.7474976,0,550
21.4832201,-24.7468315,50,550
21.3420689,-24.7460259,100,550
21.2010299,-24.7450808,150,550
21.0600648,-24.7439964,200,550
20.9219539,-24.7427983,249,550
21.6240283,-24.6119472,0,600
21.4828864,-24.6112962,50,600
21.341895,-24.6105064,100,600
21.2010157,-24.609578,150,600
21.0602102,-24.6085111,200,600
20.9222556,-24.6073309,249,600
21.6235418,-24.4764056,0,650
21.4825586,-24.4757698,50,650
21.3417258,-24.474996,100,650
21.201005,-24.4740844,150,650
21.060358,-24.4730351,200,650
20.9225586,-24.4718731,249,650
21.6230488,-24.3408674,0,700
21.4822234,-24.3402463,50,700
21.3415481,-24.3394882,100,700
21.2009847,-24.3385931,150,700
21.0604949,-24.3375611,200,700
20.9228496,-24.3364168,249,700
21.6225639,-24.2053187,0,750
21.4818949,-24.2047128,50,750
21.341376,-24.2039706,100,750
21.2009688,-24.2030923,150,750
21.0606351,-24.202078,200,750
20.9231428,-24.2009517,249,750
21.6220801,-24.0697666,0,800
21.4815665,-24.0691759,50,800
21.3412028,-24.0684496,100,800
21.2009506,-24.0675881,150,800
21.060772,-24.0665913,200,800
20.9234315,-24.0654831,249,800
21.6215963,-23.9342196,0,850
21.481237,-23.933644,50,850
21.3410274,-23.9329337,100,850
21.2009292,-23.9320889,150,850
21.0609044,-23.9311097,200,850
20.9237147,-23.9300195,249,850
21.6211199,-23.798669,0,900
21.4809137,-23.7981083,50,900
21.340857,-23.7974138,100,900
21.2009117,-23.7965857,150,900
21.0610396,-23.7956238,200,900
20.9239995,-23.7945515,249,900
21.6206401,-23.6631307,0,950
21.4805859,-23.662585,50,950
21.3406811,-23.6619062,100,950
21.2008875,-23.6610946,150,950
21.061167,-23.6601502,200,950
20.9242755,-23.6590957,249,950
21.6201621,-23.5275781,0,1000
21.4802588,-23.5270472,50,1000
21.3405047,-23.5263841,100,1000
21.2008617,-23.5255889,150,1000
21.0612917,-23.5246617,200,1000
20.9245476,-23.5236249,249,1000
21.619691,-23.392027,0,1050
21.4799375,-23.3915112,50,1050
21.340333,-23.3908639,100,1050
21.2008395,-23.3900854,150,1050
21.0614189,-23.3891757,200,1050
20.9248212,-23.3881568,249,1050
21.6192195,-23.2564715,0,1100
21.4796146,-23.2559702,50,1100
21.3401587,-23.2553383,100,1100
21.2008135,-23.254576,150,1100
21.0615412,-23.2536832,200,1100
20.9250888,-23.2526818,249,1100
21.6187501,-23.1209229,0,1150
21.4792928,-23.1204366,50,1150
21.3399842,-23.1198205,100,1150
21.2007863,-23.1190747,150,1150
21.0616613,-23.1181994,200,1150
20.925353,-23.1172158,249,1150
21.6182862,-22.9853691,0,1200
21.4789753,-22.9848981,50,1200
21.3398131,-22.9842981,100,1200
21.2007614,-22.9835692,150,1200
21.0617824,-22.9827116,200,1200
20.9256173,-22.9817461,249,1200
21.6178219,-22.8498167,0,1250
21.4786565,-22.8493608,50,1250
21.3396394,-22.8487766,100,1250
21.2007328,-22.8480644,150,1250
21.0618989,-22.8472242,200,1250
20.9258758,-22.8462767,249,1250
21.6173651,-22.7142604,0,1300
21.4783438,-22.7138195,50,1300
21.3394709,-22.7132511,100,1300
21.2007083,-22.7125555,150,1300
21.0620183,-22.7117327,200,1300
20.9261363,-22.710803,249,1300
21.6169088,-22.5787062,0,1350
21.4780307,-22.5782802,50,1350
21.3393008,-22.5777276,100,1350
21.2006811,-22.5770486,150,1350
21.062134,-22.5762433,200,1350
20.926392,-22.5753313,249,1350
21.6164478,-22.4431523,0,1400
21.4777119,-22.4427413,50,1400
21.339124,-22.4422045,100,1400
21.2006462,-22.4415421,150,1400
21.0622408,-22.4407542,200,1400
20.9266377,-22.4398601,249,1400
21.6159942,-22.3076012,0,1450
21.4773993,-22.3072053,50,1450
21.3389523,-22.3066844,100,1450
21.2006152,-22.3060387,150,1450
21.0623506,-22.3052682,200,1450
20.9268853,-22.3043919,249,1450
21.6155424,-22.1720382,0,1500
21.4770875,-22.1716574,50,1500
21.3387803,-22.1711524,100,1500
21.200583,-22.1705233,150,1500
21.062458,-22.1697702,200,1500
20.9271296,-22.1689118,249,1500
21.6150893,-22.0364836,0,1550
21.4767733,-22.0361176,50,1550
21.3386049,-22.0356282,100,1550
21.2005462,-22.0350155,150,1550
21.0625598,-22.0342796,200,1550
20.9273671,-22.0334389,249,1550
21.6146417,-21.9009305,0,1600
21.4764636,-21.9005795,50,1600
21.3384328,-21.9001059,100,1600
21.2005118,-21.8995098,150,1600
21.0626629,-21.8987914,200,1600
20.927605,-21.8979685,249,1600
21.6141939,-21.7653642,0,1650
21.4761526,-21.7650285,50,1650
21.3382585,-21.7645709,100,1650
21.200474,-21.7639917,150,1650
21.0627616,-21.7632909,200,1650
20.9278374,-21.7624861,249,1650
21.613751,-21.6298152,0,1700
21.4758454,-21.6294943,50,1700
21.3380869,-21.6290523,100,1700
21.2004379,-21.6284894,150,1700
21.062861,-21.6278057,200,1700
20.9280694,-21.6270184,249,1700
21.6133123,-21.494248,0,1750
21.4755414,-21.4939421,50,1750
21.3379175,-21.493516,100,1750
21.2004029,-21.4929697,150,1750
21.0629604,-21.4923034,200,1750
20.9283005,-21.491534,249,1750
21.6128757,-21.3586853,0,1800
21.4752385,-21.3583945,50,1800
21.337748,-21.3579841,100,1800
21.2003669,-21.3574544,150,1800
21.0630577,-21.3568054,200,1800
20.9285285,-21.3560537,249,1800
21.6124358,-21.223127,0,1850
21.4749312,-21.222851,50,1850
21.3375732,-21.2224563,100,1850
21.2003245,-21.221943,150,1850
21.0631476,-21.2213113,200,1850
