tiepoint_id,latitude,longitude,iirs_pixel_x,iirs_pixel_y,tmc2_pixel_x,tmc2_pixel_y
1,-19.460771,21.606931,0.0,0.0,83.15,922.99
2,-19.46069,21.471058,50.0,0.0,69.15,922.99
3,-19.460501,21.33533,100.0,0.0,55.16,922.98
4,-19.460203,21.19971,150.0,0.0,41.19,922.97
5,-19.459796,21.06416,200.0,0.0,27.22,922.95
6,-19.459293,20.931356,249.0,0.0,13.54,922.93
7,-19.325205,21.606527,0.0,50.0,83.11,917.63
8,-19.325139,21.470772,50.0,50.0,69.12,917.63
9,-19.324965,21.335162,100.0,50.0,55.14,917.62
10,-19.324683,21.199661,150.0,50.0,41.18,917.61
11,-19.324294,21.06423,200.0,50.0,27.23,917.59
12,-19.323808,20.931541,249.0,50.0,13.55,917.57
13,-19.18963,21.60612,0.0,100.0,83.06,912.26
14,-19.189579,21.470483,50.0,100.0,69.09,912.26
15,-19.18942,21.334991,100.0,100.0,55.13,912.26
16,-19.189155,21.199607,150.0,100.0,41.18,912.24
17,-19.188783,21.064293,200.0,100.0,27.23,912.23
18,-19.188314,20.93172,249.0,100.0,13.57,912.21
19,-19.054062,21.605715,0.0,150.0,83.02,906.9
20,-19.054026,21.470195,50.0,150.0,69.06,906.9
21,-19.053884,21.334819,100.0,150.0,55.11,906.89
22,-19.053635,21.199551,150.0,150.0,41.17,906.88
23,-19.05328,21.064354,200.0,150.0,27.24,906.87
24,-19.05283,20.931894,249.0,150.0,13.59,906.85
25,-18.918489,21.605314,0.0,200.0,82.98,901.53
26,-18.918469,21.469909,50.0,200.0,69.03,901.53
27,-18.918342,21.334649,100.0,200.0,55.09,901.53
28,-18.91811,21.199496,150.0,200.0,41.17,901.52
29,-18.917773,21.064415,200.0,200.0,27.25,901.51
30,-18.91734,20.932068,249.0,200.0,13.61,901.49
31,-18.782916,21.604916,0.0,250.0,82.94,896.17
32,-18.78291,21.469626,50.0,250.0,69.0,896.17
33,-18.782799,21.33448,100.0,250.0,55.07,896.17
34,-18.782583,21.199442,150.0,250.0,41.16,896.16
35,-18.782263,21.064475,200.0,250.0,27.25,896.14
36,-18.781848,20.93224,249.0,250.0,13.63,896.13
37,-18.647346,21.604516,0.0,300.0,82.9,890.81
38,-18.647355,21.469339,50.0,300.0,68.97,890.81
39,-18.64726,21.334307,100.0,300.0,55.06,890.8
40,-18.647061,21.199383,150.0,300.0,41.15,890.8
