Longitude,Latitude,Pixel,Scan
339.405692,-31.4899396,0,0
339.259629,-31.4898379,50,0
339.11364,-31.4895472,100,0
338.967686,-31.4890676,150,0
338.821729,-31.4883991,200,0
338.678652,-31.4875604,249,0
339.404996,-31.3536189,0,50
339.259206,-31.353516,50,50
339.113489,-31.3532251,100,50
338.967807,-31.3527465,150,50
338.822123,-31.3520799,200,50
338.679312,-31.3512442,249,50
339.404293,-31.2172955,0,100
339.258774,-31.2171914,50,100
339.113328,-31.2169003,100,100
338.967917,-31.2164225,150,100
338.822503,-31.2157578,200,100
338.679958,-31.2149249,249,100
339.403592,-31.0809724,0,150
339.258342,-31.080867,50,150
339.113166,-31.0805757,100,150
338.968024,-31.0800986,150,150
338.822879,-31.0794358,200,150
338.680598,-31.0786057,249,150
339.402898,-30.9446283,0,200
339.257916,-30.9445219,50,200
339.113006,-30.9442307,100,200
338.968132,-30.9437547,150,200
338.823255,-30.943094,200,200
338.681236,-30.9422669,249,200
339.402204,-30.8082838,0,250
339.257488,-30.8081765,50,250
339.112844,-30.8078853,100,250
338.968236,-30.8074104,150,250
338.823624,-30.8067517,200,250
338.681866,-30.8059277,249,250
339.40151,-30.6719402,0,300
339.257058,-30.6718314,50,300
339.112679,-30.6715399,100,300
338.968335,-30.6710656,150,300
338.823988,-30.6704087,200,300
338.682488,-30.6695873,249,300
339.400821,-30.5355841,0,350
339.256632,-30.5354742,50,350
339.112515,-30.5351825,100,350
338.968434,-30.5347091,150,350
338.824349,-30.534054,200,350
338.683106,-30.5332354,249,350
339.400139,-30.3992138,0,400
339.256211,-30.3991029,50,400
339.112355,-30.3988113,100,400
338.968534,-30.3983389,150,400
338.82471,-30.3976859,200,400
338.683724,-30.3968703,249,400
339.399464,-30.2628465,0,450
339.255795,-30.2627347,50,450
339.112199,-30.2624431,100,450
338.968637,-30.2619718,150,450
338.825073,-30.2613208,200,450
338.68434,-30.2605083,249,450
339.398794,-30.1264802,0,500
339.255383,-30.1263671,50,500
339.112045,-30.1260753,100,500
338.96874,-30.1256047,150,500
338.825433,-30.1249555,200,500
338.684953,-30.1241456,249,500
339.398116,-29.9900939,0,550
339.254961,-29.9899794,50,550
339.111879,-29.9896872,100,550
338.968831,-29.9892174,150,550
338.82578,-29.9885698,200,550
338.685551,-29.9877625,249,550
339.397441,-29.8537021,0,600
339.254541,-29.8535866,50,600
339.111713,-29.8532943,100,600
338.968919,-29.8528254,150,600
338.826123,-29.8521798,200,600
338.686143,-29.8513753,249,600
339.396774,-29.7173112,0,650
339.254127,-29.7171944,50,650
339.111552,-29.7169019,100,650
338.969011,-29.7164337,150,650
338.826467,-29.7157898,200,650
338.686736,-29.7149881,249,650
339.396098,-29.5809101,0,700
339.253702,-29.5807921,50,700
339.111379,-29.5804993,100,700
338.969089,-29.5800318,150,700
338.826797,-29.5793896,200,700
338.687311,-29.5785905,249,700
339.395431,-29.444502,0,750
339.253285,-29.4443829,50,750
339.111212,-29.4440901,100,750
338.969172,-29.4436235,150,750
338.827129,-29.4429831,200,750
338.687889,-29.4421868,249,750
339.394766,-29.3080966,0,800
339.252869,-29.307976,50,800
339.111044,-29.3076826,100,800
338.969252,-29.3072165,150,800
338.827458,-29.3065776,200,800
338.68846,-29.3057837,249,800
339.394099,-29.171681,0,850
339.25245,-29.1715592,50,850
339.110871,-29.1712656,100,850
338.969326,-29.1708003,150,850
338.827778,-29.1701631,200,850
338.689022,-29.1693718,249,850
339.393437,-29.0352564,0,900
339.252032,-29.0351337,50,900
339.110698,-29.0348401,100,900
338.969398,-29.0343757,150,900
338.828096,-29.0337406,200,900
338.68958,-29.0329521,249,900
339.392779,-28.8988324,0,950
339.251618,-28.8987085,50,950
339.110528,-28.8984146,100,950
338.969472,-28.897951,150,950
338.828413,-28.8973175,200,950
338.690136,-28.8965316,249,950
339.392122,-28.7623899,0,1000
339.251204,-28.7622647,50,1000
339.110356,-28.7619706,100,1000
338.969542,-28.7615077,150,1000
338.828725,-28.7608759,200,1000
338.690685,-28.7600926,249,1000
339.391473,-28.6259474,0,1050
339.250795,-28.6258214,50,1050
339.110188,-28.6255274,100,1050
338.969614,-28.6250655,150,1050
338.829037,-28.6244357,200,1050
338.691234,-28.6236553,249,1050
339.390817,-28.4895046,0,1100
339.250378,-28.4893773,50,1100
339.11001,-28.4890831,100,1100
338.969676,-28.4886219,150,1100
338.829338,-28.4879938,200,1100
338.691769,-28.487216,249,1100
339.390164,-28.3530518,0,1150
339.249963,-28.3529236,50,1150
339.109832,-28.3526294,100,1150
338.969735,-28.3521692,150,1150
338.829635,-28.351543,200,1150
338.692299,-28.350768,249,1150
339.389517,-28.216593,0,1200
339.249552,-28.2164637,50,1200
339.109658,-28.2161693,100,1200
338.969797,-28.2157099,150,1200
338.829933,-28.2150854,200,1200
338.692828,-28.214313,249,1200
339.388868,-28.0801339,0,1250
339.249138,-28.0800035,50,1250
339.109478,-28.0797089,100,1250
338.969852,-28.0792502,150,1250
338.830223,-28.0786274,200,1250
338.693348,-28.0778576,249,1250
339.388225,-27.9436633,0,1300
339.248729,-27.9435317,50,1300
339.109302,-27.9432369,100,1300
338.969909,-27.9427789,150,1300
338.830513,-27.9421578,200,1300
338.693867,-27.9413905,249,1300
339.387586,-27.8071829,0,1350
339.248321,-27.8070499,50,1350
339.109127,-27.8067546,100,1350
338.969965,-27.8062971,150,1350
338.830801,-27.8056774,200,1350
338.694382,-27.8049123,249,1350
339.386948,-27.6707037,0,1400
339.247914,-27.6705697,50,1400
339.10895,-27.6702743,100,1400
338.970019,-27.6698177,150,1400
338.831084,-27.6691997,200,1400
338.694891,-27.6684374,249,1400
339.386313,-27.5342165,0,1450
339.247508,-27.5340814,50,1450
339.108772,-27.5337857,100,1450
338.97007,-27.5333298,150,1450
338.831364,-27.5327135,200,1450
338.695395,-27.5319537,249,1450
339.38568,-27.3977259,0,1500
339.247103,-27.3975895,50,1500
339.108594,-27.3972937,100,1500
338.970119,-27.3968385,150,1500
