tiepoint_id,latitude,longitude,iirs_pixel_x,iirs_pixel_y,tmc2_pixel_x,tmc2_pixel_y
1,-23.300276,339.367649,0.0,0.0,413.0,1074.91
2,-23.300106,339.235267,50.0,0.0,413.0,1074.91
3,-23.299803,339.102951,100.0,0.0,413.0,1074.89
4,-23.299367,338.970666,150.0,0.0,413.0,1074.88
5,-23.298798,338.838377,200.0,0.0,413.0,1074.85
6,-23.298111,338.708699,249.0,0.0,413.0,1074.83
7,-23.163598,339.367089,0.0,50.0,413.0,1069.51
8,-23.163427,339.234894,50.0,50.0,413.0,1069.5
9,-23.163124,339.102764,100.0,50.0,413.0,1069.49
10,-23.162689,338.970665,150.0,50.0,413.0,1069.47
11,-23.162121,338.838563,200.0,50.0,413.0,1069.45
12,-23.161436,338.709067,249.0,50.0,413.0,1069.42
13,-23.026917,339.366523,0.0,100.0,413.0,1064.1
14,-23.026745,339.234513,50.0,100.0,413.0,1064.09
15,-23.026442,339.102568,100.0,100.0,413.0,1064.08
16,-23.026007,338.970655,150.0,100.0,413.0,1064.06
17,-23.025441,338.838738,200.0,100.0,413.0,1064.04
18,-23.024758,338.709424,249.0,100.0,413.0,1064.01
19,-22.890242,339.365957,0.0,150.0,413.0,1058.69
20,-22.890069,339.234131,50.0,150.0,413.0,1058.68
21,-22.889765,339.10237,100.0,150.0,413.0,1058.67
22,-22.889331,338.970641,150.0,150.0,413.0,1058.65
23,-22.888766,338.838908,200.0,150.0,413.0,1058.63
24,-22.888085,338.709774,249.0,150.0,413.0,1058.6
25,-22.75356,339.365391,0.0,200.0,413.0,1053.28
26,-22.753386,339.233748,50.0,200.0,413.0,1053.27
27,-22.753082,339.10217,100.0,200.0,413.0,1053.26
28,-22.752648,338.970623,150.0,200.0,413.0,1053.24
29,-22.752085,338.839073,200.0,200.0,413.0,1053.22
30,-22.751406,338.710119,249.0,200.0,413.0,1053.2
31,-22.616871,339.364825,0.0,250.0,413.0,1047.87
32,-22.616696,339.233364,50.0,250.0,413.0,1047.87
33,-22.616392,339.101968,100.0,250.0,413.0,1047.85
34,-22.615959,338.970602,150.0,250.0,413.0,1047.84
35,-22.615397,338.839234,200.0,250.0,413.0,1047.81
36,-22.614721,338.710458,249.0,250.0,413.0,1047.79
37,-22.480176,339.364266,0.0,300.0,413.0,1042.46
38,-22.48,339.232985,50.0,300.0,413.0,1042.46
39,-22.479696,339.101769,100.0,300.0,413.0,1042.44
40,-22.479263,338.970584,150.0,300.0,413.0,1042.43
