Longitude,Latitude,Pixel,Scan
342.600996,-31.4200266,0,0
342.458296,-31.4201053,50,0
342.315719,-31.4200291,100,0
342.173229,-31.4197986,150,0
342.030788,-31.4194137,200,0
341.891209,-31.4188868,249,0
342.600327,-31.2834414,0,50
342.457892,-31.2835184,50,50
342.31558,-31.2834417,100,50
342.173354,-31.2832115,150,50
342.031177,-31.282828,200,50
341.891857,-31.2823033,249,50
342.599657,-31.1468557,0,100
342.457485,-31.1469312,50,100
342.315436,-31.1468539,100,100
342.173472,-31.1466241,150,100
342.031558,-31.1462419,200,100
341.892496,-31.1457195,249,100
342.598994,-31.0102585,0,150
342.457083,-31.0103325,50,150
342.315295,-31.0102547,100,150
342.173593,-31.0100252,150,150
342.03194,-31.0096445,200,150
341.893134,-31.0091244,249,150
342.598332,-30.8736577,0,200
342.456681,-30.8737299,50,200
342.315152,-30.8736513,100,200
342.173709,-30.8734221,150,200
342.032316,-30.8730424,200,200
341.893763,-30.8725244,249,200
342.597669,-30.7370464,0,250
342.456276,-30.737117,50,250
342.315005,-30.7370376,100,250
342.17382,-30.7368086,150,250
342.032684,-30.7364302,200,250
341.894385,-30.7359143,249,250
342.597009,-30.6004414,0,300
342.455873,-30.6005101,50,300
342.314858,-30.6004299,100,300
342.173929,-30.6002009,150,300
342.03305,-30.5998235,200,300
341.895001,-30.5993095,249,300
342.596352,-30.4638129,0,350
342.455471,-30.4638799,50,350
342.314711,-30.4637988,100,350
342.174036,-30.4635701,150,350
342.033411,-30.4631937,200,350
341.895612,-30.4626817,249,350
342.595705,-30.3271948,0,400
342.455076,-30.3272596,50,400
342.314569,-30.3271773,100,400
342.174148,-30.3269483,150,400
342.033776,-30.3265726,200,400
341.896225,-30.3260622,249,400
342.595063,-30.1905602,0,450
342.454686,-30.1906234,50,450
342.31443,-30.1905405,100,450
342.17426,-30.1903118,150,450
342.03414,-30.1899373,200,450
341.896835,-30.189429,249,450
342.594423,-30.0539192,0,500
342.454297,-30.0539807,50,500
342.314291,-30.053897,100,500
342.174371,-30.0536684,150,500
342.0345,-30.0532951,200,500
341.89744,-30.0527888,249,500
342.593784,-29.9172786,0,550
342.453906,-29.9173383,50,550
342.314148,-29.9172536,100,550
342.174476,-29.9170251,150,550
342.034853,-29.9166527,200,550
341.898036,-29.9161482,249,550
342.59315,-29.7806357,0,600
342.453518,-29.7806938,50,600
342.314008,-29.7806085,100,600
342.174582,-29.7803803,150,600
342.035206,-29.7800091,200,600
341.898631,-29.7795067,249,600
342.59252,-29.6439818,0,650
342.453134,-29.6440381,50,650
342.313869,-29.643952,100,650
342.174688,-29.6437237,150,650
342.035557,-29.6433536,200,650
341.899222,-29.6428531,249,650
342.591899,-29.5073173,0,700
342.452757,-29.5073719,50,700
342.313735,-29.5072851,100,700
342.174798,-29.5070571,150,700
342.035911,-29.506688,200,700
341.899814,-29.5061895,249,700
342.591269,-29.3706517,0,750
342.452369,-29.3707046,50,750
342.313589,-29.3706171,100,750
342.174894,-29.3703892,150,750
342.036249,-29.3700213,200,750
341.90039,-29.3695248,249,750
342.590645,-29.2339827,0,800
342.451985,-29.2340337,50,800
342.313446,-29.2339451,100,800
342.174992,-29.2337171,150,800
342.036586,-29.2333499,200,800
341.900963,-29.232855,249,800
342.590021,-29.0973019,0,850
342.451601,-29.0973514,50,850
342.313301,-29.0972622,100,850
342.175086,-29.0970346,150,850
342.036919,-29.0966687,200,850
341.90153,-29.0961759,249,850
342.589394,-28.960627,0,900
342.451212,-28.9606746,50,900
342.313149,-28.9605844,100,900
342.175171,-28.9603568,150,900
342.037242,-28.9599917,200,900
341.902085,-28.9595006,249,900
342.58878,-28.8239466,0,950
342.450834,-28.8239921,50,950
342.313007,-28.8239008,100,950
342.175264,-28.8236728,150,950
342.037571,-28.8233084,200,950
341.902646,-28.8228189,249,950
342.588171,-28.6872562,0,1000
342.450459,-28.6873002,50,1000
342.312867,-28.6872082,100,1000
342.175359,-28.6869805,150,1000
342.0379,-28.6866172,200,1000
341.903204,-28.6861297,249,1000
342.587561,-28.5505537,0,1050
342.450083,-28.5505962,50,1050
342.312724,-28.5505036,100,1050
342.175449,-28.5502762,150,1050
342.038223,-28.5499141,200,1050
341.903755,-28.5494287,249,1050
342.586957,-28.4138514,0,1100
342.44971,-28.413892,50,1100
342.312582,-28.4137984,100,1100
342.175539,-28.4135708,150,1100
342.038544,-28.4132095,200,1100
341.904304,-28.4127257,249,1100
342.586356,-28.277142,0,1150
342.449339,-28.2771812,50,1150
342.312442,-28.2770871,100,1150
342.175628,-28.2768599,150,1150
342.038864,-28.2764999,200,1150
341.904849,-28.2760181,249,1150
342.585759,-28.1404248,0,1200
