tiepoint_id,latitude,longitude,iirs_pixel_x,iirs_pixel_y,tmc2_pixel_x,tmc2_pixel_y
1,-23.76274,342.567921,0.0,0.0,413.0,1093.21
2,-23.762726,342.437725,50.0,0.0,413.0,1093.21
3,-23.762606,342.307643,100.0,0.0,413.0,1093.21
4,-23.76238,342.177643,150.0,0.0,413.0,1093.2
5,-23.76205,342.047692,200.0,0.0,413.0,1093.18
6,-23.761624,341.920355,249.0,0.0,413.0,1093.17
7,-23.625852,342.56741,0.0,50.0,413.0,1087.8
8,-23.625835,342.437398,50.0,50.0,413.0,1087.79
9,-23.625714,342.307501,100.0,50.0,413.0,1087.79
10,-23.625489,342.177686,150.0,50.0,413.0,1087.78
11,-23.625159,342.047919,200.0,50.0,413.0,1087.77
12,-23.624734,341.920763,249.0,50.0,413.0,1087.75
13,-23.488961,342.566899,0.0,100.0,413.0,1082.38
14,-23.488943,342.437071,50.0,100.0,413.0,1082.38
15,-23.488822,342.307357,100.0,100.0,413.0,1082.37
16,-23.488596,342.177725,150.0,100.0,413.0,1082.36
17,-23.488266,342.048141,200.0,100.0,413.0,1082.35
18,-23.487843,341.921164,249.0,100.0,413.0,1082.33
19,-23.352065,342.566387,0.0,150.0,413.0,1076.96
20,-23.352046,342.436741,50.0,150.0,413.0,1076.96
21,-23.351923,342.307209,100.0,150.0,413.0,1076.96
22,-23.351698,342.177759,150.0,150.0,413.0,1076.95
23,-23.351369,342.048357,200.0,150.0,413.0,1076.93
24,-23.350947,341.921558,249.0,150.0,413.0,1076.92
25,-23.215166,342.565874,0.0,200.0,413.0,1071.55
26,-23.215146,342.436409,50.0,200.0,413.0,1071.54
27,-23.215023,342.307058,100.0,200.0,413.0,1071.54
28,-23.214798,342.177788,150.0,200.0,413.0,1071.53
29,-23.21447,342.048566,200.0,200.0,413.0,1071.52
30,-23.21405,341.921945,249.0,200.0,413.0,1071.5
31,-23.078261,342.565372,0.0,250.0,413.0,1066.13
32,-23.078239,342.436086,50.0,250.0,413.0,1066.13
33,-23.078115,342.306915,100.0,250.0,413.0,1066.12
34,-23.07789,342.177824,150.0,250.0,413.0,1066.11
35,-23.077564,342.048782,200.0,250.0,413.0,1066.1
36,-23.077145,341.922337,249.0,250.0,413.0,1066.08
37,-22.941343,342.56487,0.0,300.0,413.0,1060.71
38,-22.941319,342.435763,50.0,300.0,413.0,1060.71
39,-22.941195,342.306769,100.0,300.0,413.0,1060.71
40,-22.94097,342.177857,150.0,300.0,413.0,1060.7
