Longitude,Latitude,Pixel,Scan
23.7919549,8.63017155,0,0
23.9619227,8.62404684,50,0
24.131774,8.6178091,100,0
24.3015703,8.6114563,150,0
24.4713729,8.60498622,200,0
24.6378447,8.59852948,249,0
23.7884529,8.49911604,0,50
23.9583809,8.49300091,50,50
24.1281926,8.48677389,100,50
24.2979495,8.48043293,150,50
24.4677128,8.47397582,200,50
24.6341463,8.4675329,249,50
23.7850153,8.36810319,0,100
23.9549038,8.36200144,50,100
24.1246764,8.3557889,100,100
24.2943945,8.34946356,150,100
24.4641194,8.34302321,200,100
24.6305156,8.33659782,249,100
23.7814433,8.23691109,0,150
23.9512941,8.23081367,50,150
24.121029,8.2246066,100,150
24.2907092,8.21828784,150,150
24.4603962,8.21185519,200,150
24.6267551,8.20543844,249,150
23.7779716,8.10585262,0,200
23.9477846,8.09976652,50,200
24.1174819,8.0935719,100,200
24.2871247,8.08726671,150,200
24.4567745,8.08084878,200,200
24.623097,8.07444755,249,200
23.7744629,7.97469366,0,250
23.9442391,7.96861022,50,250
24.1138996,7.96241937,100,250
24.2835057,7.95611909,150,250
24.4531187,7.94970718,200,250
24.6194054,7.94331295,249,250
23.7709585,7.84351876,0,300
23.9406988,7.83744023,50,300
24.1103233,7.83125541,100,300
24.2798934,7.82496227,150,300
24.4494706,7.81855863,200,300
24.615722,7.8121736,249,300
23.7675954,7.71254947,0,350
23.9372992,7.70648534,50,350
24.1068877,7.70031605,100,350
24.2764221,7.69403959,150,350
24.445964,7.68765375,200,350
24.6121812,7.68128728,249,350
23.7641141,7.58140355,0,400
23.9337831,7.57534347,50,400
24.1033368,7.56917936,100,400
24.2728365,7.5629092,150,400
24.4423435,7.55653079,200,400
24.6085266,7.55017268,249,400
23.7606512,7.4502049,0,450
23.9302861,7.44414809,50,450
24.0998056,7.43798837,100,450
24.2692713,7.43172371,150,450
24.4387443,7.42535192,200,450
24.6048942,7.4190014,249,450
23.7572434,7.31899143,0,500
23.9268445,7.31293706,50,500
24.0963305,7.30678088,100,500
24.2657628,7.30052087,150,500
24.4352027,7.29415484,200,500
24.6013202,7.28781103,249,500
23.7537943,7.18780212,0,550
23.9233625,7.18174813,50,550
24.0928156,7.17559346,100,550
24.2622151,7.16933606,150,550
24.4316221,7.16297378,200,550
24.5977075,7.15663472,249,550
23.7504444,7.0568078,0,600
23.9199796,7.05076476,50,600
24.0894,7.04462217,100,600
24.2587669,7.03837799,150,600
24.4281416,7.03203005,200,600
24.5941955,7.02570617,249,600
23.7471185,6.92586065,0,650
23.9166212,6.91983016,50,650
24.0860094,6.91370125,100,650
24.2553443,6.90747189,150,650
24.4246873,6.90113992,200,650
24.5907103,6.89483279,249,650
23.7437422,6.79471536,0,700
23.9132137,6.78868897,50,700
24.0825707,6.78256529,100,700
24.2518746,6.77634227,150,700
24.4211867,6.77001777,200,700
24.5871796,6.76371906,249,700
23.7402439,6.66365257,0,750
23.9096854,6.65762607,50,750
24.079012,6.65150342,100,750
24.2482852,6.64528259,150,750
24.4175663,6.6389614,200,750
24.5835284,6.63266706,249,750
23.7368797,6.53253687,0,800
23.9062913,6.52651696,50,800
24.0755881,6.52040202,100,800
24.2448316,6.51419003,150,800
24.414083,6.50787882,200,800
24.5800161,6.50159534,249,800
23.7336309,6.40158913,0,850
23.9030123,6.39558295,50,850
24.0722793,6.38948288,100,850
24.2414934,6.38328688,150,850
24.4107157,6.3769928,200,850
24.5766206,6.37072723,249,850
23.7302283,6.27038156,0,900
23.8995816,6.26437754,50,900
24.0688204,6.25828075,100,900
24.2380061,6.25208915,150,900
24.4072,6.24580059,200,900
24.5730769,6.23954153,249,900
23.7269094,6.13923495,0,950
23.8962347,6.1332356,50,950
24.0654456,6.12714459,100,950
24.2346035,6.12095989,150,950
24.4037696,6.11467936,200,950
24.5696195,6.10842925,249,950
23.7235951,6.0081732,0,1000
23.8928929,6.00218112,50,1000
24.0620764,5.99609851,100,1000
24.2312069,5.98992335,150,1000
24.4003457,5.98365349,200,1000
24.5661689,5.97741493,249,1000
23.7203693,5.87718028,0,1050
23.8896397,5.87119954,50,1050
24.058796,5.8651294,100,1050
24.2278996,5.85896785,150,1050
24.3970119,5.85271272,200,1050
24.5628093,5.84648972,249,1050
23.7170099,5.74600376,0,1100
23.8862545,5.74002306,50,1100
24.055385,5.73395409,100,1100
24.2244627,5.72779482,150,1100
24.3935489,5.7215431,200,1100
24.5593206,5.71532453,249,1100
23.7137424,5.61489483,0,1150
23.8829614,5.60891885,50,1150
24.0520663,5.60285572,100,1150
24.2211185,5.59670342,150,1150
24.3901794,5.59045979,200,1150
24.5559264,5.58425024,249,1150
23.7104711,5.48371174,0,1200
23.879665,5.47773437,50,1200
24.0487451,5.47167097,100,1200
24.2177726,5.4655195,150,1200
24.3868088,5.45927783,200,1200
24.5525318,5.45307127,249,1200
23.7072496,5.352654,0,1250
23.8764189,5.34668505,50,1250
24.0454745,5.34063119,100,1250
24.2144778,5.33449039,150,1250
24.3834899,5.32826052,200,1250
24.5491895,5.32206663,249,1250
23.7039787,5.22154552,0,1300
23.8731245,5.21558218,50,1300
24.0421566,5.20953506,100,1300
24.2111364,5.20340213,150,1300
24.380125,5.19718125,200,1300
24.5458014,5.19099728,249,1300
23.7007624,5.09046656,0,1350
23.8698851,5.08451116,50,1350
24.0388942,5.07847309,100,1350
24.2078509,5.07235035,150,1350
24.3768167,5.06614079,200,1350
24.5424709,5.05996901,249,1350
23.697522,4.95935176,0,1400
23.8666223,4.95340077,50,1400
24.035609,4.94736825,100,1400
24.2045435,4.94125217,150,1400
24.373487,4.9350504,200,1400
24.5391194,4.92888735,249,1400
23.6943508,4.82836182,0,1450
23.8634288,4.82242136,50,1450
24.0323935,4.81640049,100,1450
24.201306,4.81029721,150,1450
24.3702278,4.80410938,200,1450
24.535839,4.7979611,249,1450
23.6911251,4.69714719,0,1500
23.8601823,4.69120874,50,1500
24.0291261,4.685191,100,1500
