tiepoint_id,latitude,longitude,iirs_pixel_x,iirs_pixel_y,tmc2_pixel_x,tmc2_pixel_y
1,1.813718,23.623515,0.0,0.0,290.94,81.2
2,1.807894,23.792257,50.0,0.0,308.33,81.44
3,1.802016,23.960887,100.0,0.0,325.71,81.67
4,1.796081,24.129468,150.0,0.0,343.08,81.9
5,1.790088,24.29806,200.0,0.0,360.45,82.14
6,1.784156,24.46335,249.0,0.0,377.48,82.37
7,1.682524,23.620489,0.0,50.0,290.63,86.4
8,1.6767,23.789224,50.0,50.0,308.02,86.63
9,1.670822,23.957848,100.0,50.0,325.39,86.86
10,1.664888,24.126422,150.0,50.0,342.76,87.09
11,1.658897,24.295007,200.0,50.0,360.13,87.33
12,1.652969,24.46029,249.0,50.0,377.17,87.57
13,1.551512,23.617568,0.0,100.0,290.33,91.58
14,1.545694,23.786297,50.0,100.0,307.72,91.81
15,1.539824,23.954914,100.0,100.0,325.09,92.04
16,1.5339,24.123481,150.0,100.0,342.46,92.28
17,1.527919,24.292059,200.0,100.0,359.83,92.51
18,1.522002,24.457336,249.0,100.0,376.86,92.75
19,1.420451,23.614606,0.0,150.0,290.02,96.77
20,1.414636,23.783328,50.0,150.0,307.41,97.0
21,1.40877,23.95194,100.0,150.0,324.78,97.23
22,1.40285,24.120501,150.0,150.0,342.15,97.46
23,1.396876,24.289073,200.0,150.0,359.52,97.7
24,1.390965,24.454344,249.0,150.0,376.55,97.93
25,1.289342,23.611631,0.0,200.0,289.72,101.95
26,1.283528,23.780348,50.0,200.0,307.1,102.18
27,1.277663,23.948954,100.0,200.0,324.48,102.42
28,1.271747,24.11751,150.0,200.0,341.84,102.65
29,1.265777,24.286077,200.0,200.0,359.21,102.89
30,1.259872,24.451343,249.0,200.0,376.24,103.12
31,1.158329,23.608731,0.0,250.0,289.42,107.14
32,1.152522,23.777444,50.0,250.0,306.8,107.37
33,1.146666,23.946044,100.0,250.0,324.18,107.6
34,1.140759,24.114596,150.0,250.0,341.54,107.83
35,1.134799,24.283158,200.0,250.0,358.91,108.07
36,1.128905,24.448419,249.0,250.0,375.94,108.3
37,1.027198,23.605788,0.0,300.0,289.12,112.33
38,1.021394,23.774497,50.0,300.0,306.5,112.56
39,1.015543,23.943094,100.0,300.0,323.87,112.79
40,1.009642,24.111641,150.0,300.0,341.24,113.02
