match_id,descriptor,scale,geometry,terrain,photometric,spatial,final_confidence,accepted,rejection_reason
0,0.634,1.0,0.997,0.733,0.326,0.526,0.715,True,
1,0.491,1.0,0.612,0.6,0.717,0.571,0.757,True,
2,0.928,0.999,0.996,0.867,0.62,0.571,0.847,True,
3,0.906,0.997,0.999,1.0,0.464,0.571,0.847,True,
4,0.582,0.988,1.0,0.733,0.56,0.526,0.738,True,
5,0.637,1.0,0.996,0.733,0.692,0.526,0.769,True,
6,0.605,0.997,0.999,0.733,0.641,0.526,0.758,True,
7,0.343,0.999,0.999,0.867,0.68,0.571,0.769,True,
8,0.857,1.0,0.998,1.0,0.583,0.571,0.859,True,
9,0.96,0.999,0.999,0.733,0.35,1.0,0.819,True,
10,0.387,0.978,0.0,0.467,0.694,0.526,0.455,False,"Rejected: High geometric residual (score: 0.00, final: 0.45)"
11,0.473,0.999,0.0,0.2,0.709,0.526,0.42,False,"Rejected: High geometric residual (score: 0.00, final: 0.42)"
12,0.67,0.998,0.998,0.733,0.561,0.526,0.754,True,
13,0.439,1.0,0.999,1.0,0.694,1.0,0.855,True,
14,0.478,0.999,0.994,1.0,0.42,1.0,0.819,True,
15,0.865,1.0,0.999,1.0,0.64,0.571,0.871,True,
16,0.896,1.0,0.998,1.0,0.134,0.426,0.785,True,
17,0.735,0.997,0.998,1.0,0.375,0.69,0.821,True,
18,0.738,1.0,0.997,1.0,0.151,0.426,0.764,True,
19,0.682,0.992,0.899,1.0,0.308,0.87,0.807,True,
20,0.65,1.0,0.999,1.0,0.438,0.69,0.819,True,
21,0.4,0.995,0.999,0.733,0.627,1.0,0.772,True,
22,0.92,1.0,0.998,1.0,0.33,0.87,0.86,True,
23,0.972,0.999,0.994,1.0,0.537,0.69,0.886,True,
24,0.896,1.0,0.999,1.0,0.446,0.426,0.835,True,
25,0.475,0.987,1.0,1.0,0.629,0.426,0.797,True,
26,0.604,1.0,0.894,1.0,0.314,0.69,0.788,True,
27,0.524,0.995,0.751,0.867,0.4,0.69,0.763,True,
28,0.78,0.991,0.997,1.0,0.683,0.69,0.88,True,
29,0.869,0.996,0.999,1.0,0.138,0.69,0.812,True,
30,0.953,1.0,0.996,0.733,0.316,0.426,0.772,True,
31,0.967,1.0,0.996,0.733,0.316,0.426,0.774,True,
32,0.738,0.999,0.749,0.733,0.326,0.426,0.743,True,
33,0.679,0.999,0.749,0.733,0.326,0.426,0.735,True,
34,0.582,1.0,0.999,1.0,0.651,0.426,0.82,True,
35,0.715,0.999,0.999,0.867,0.63,0.426,0.811,True,
36,0.968,0.999,0.998,0.867,0.373,0.69,0.837,True,
37,0.88,1.0,1.0,0.867,0.127,0.426,0.762,True,
38,0.899,1.0,1.0,0.867,0.127,0.426,0.765,True,
39,0.91,1.0,0.999,0.867,0.559,0.625,0.848,True,
40,0.394,0.992,0.0,0.6,0.514,0.526,0.458,False,"Rejected: High geometric residual (score: 0.00, final: 0.46)"
41,0.905,1.0,1.0,0.867,0.489,0.526,0.831,True,
42,0.737,1.0,0.998,0.733,0.444,0.426,0.762,True,
43,0.928,1.0,1.0,1.0,0.141,0.526,0.808,True,
44,0.401,0.592,0.027,0.6,0.428,0.426,0.382,False,"Rejected: High geometric residual (score: 0.03, final: 0.38)"
45,0.551,0.999,0.999,0.867,0.622,0.625,0.805,True,
46,0.931,0.996,1.0,0.867,0.158,0.526,0.785,True,
47,0.913,0.996,1.0,0.867,0.158,0.526,0.782,True,
48,0.719,0.996,0.998,1.0,0.345,0.377,0.791,True,
49,0.717,1.0,1.0,0.867,0.478,0.625,0.809,True,
50,0.877,1.0,0.998,1.0,0.422,0.377,0.827,True,
51,0.966,1.0,1.0,0.733,0.344,0.526,0.793,True,
52,0.402,0.921,0.006,0.6,0.308,0.625,0.428,False,"Rejected: High geometric residual (score: 0.01, final: 0.43)"
53,0.897,0.999,0.999,1.0,0.288,0.377,0.811,True,
54,0.883,1.0,1.0,1.0,0.333,0.377,0.816,True,
55,0.712,1.0,0.958,1.0,0.316,0.87,0.827,True,
56,0.959,1.0,1.0,0.867,0.576,0.625,0.861,True,
57,0.857,0.998,1.0,1.0,0.316,0.426,0.815,True,
58,0.715,1.0,0.999,0.867,0.333,1.0,0.804,True,
59,0.768,0.999,0.994,0.867,0.145,1.0,0.796,True,
60,0.834,1.0,0.999,1.0,0.449,0.377,0.825,True,
61,0.665,0.998,0.994,1.0,0.449,0.377,0.797,True,
62,0.474,1.0,1.0,1.0,0.485,0.426,0.783,True,
63,0.811,0.999,0.999,1.0,0.557,0.377,0.838,True,
64,0.754,1.0,0.999,1.0,0.568,0.377,0.832,True,
65,0.966,0.998,0.999,1.0,0.413,0.426,0.846,True,
66,0.93,1.0,0.999,1.0,0.488,0.426,0.852,True,
67,0.87,0.999,0.999,1.0,0.477,0.426,0.842,True,
68,0.958,1.0,0.998,1.0,0.488,0.377,0.85,True,
69,0.85,1.0,1.0,1.0,0.554,0.426,0.85,True,
70,0.859,1.0,0.997,0.867,0.477,0.87,0.842,True,
71,0.886,1.0,0.999,0.867,0.452,0.87,0.844,True,
72,0.44,0.998,0.995,1.0,0.432,0.526,0.779,True,
73,0.899,1.0,0.999,1.0,0.426,0.87,0.878,True,
74,0.826,0.999,1.0,1.0,0.273,0.377,0.796,True,
75,0.842,0.996,1.0,1.0,0.556,0.377,0.844,True,
76,0.858,0.997,1.0,1.0,0.584,0.377,0.849,True,
77,0.983,0.998,0.998,1.0,0.347,0.357,0.831,True,
78,0.917,0.997,0.999,1.0,0.734,0.339,0.877,True,
79,0.59,0.964,0.995,0.733,0.543,0.339,0.738,True,
80,0.796,0.995,0.999,1.0,0.438,0.377,0.815,True,
81,0.86,1.0,0.992,0.867,0.56,0.339,0.816,True,
82,0.828,1.0,0.992,0.867,0.56,0.339,0.811,True,
83,0.818,0.999,0.998,1.0,0.55,0.377,0.837,True,
84,0.885,0.999,1.0,1.0,0.469,0.377,0.834,True,
85,0.658,1.0,0.999,0.867,0.323,0.455,0.744,True,
86,0.91,0.998,0.999,1.0,0.692,0.339,0.869,True,
87,0.618,0.984,1.0,1.0,0.543,0.357,0.801,True,
88,0.653,0.996,0.998,1.0,0.401,0.377,0.788,True,
89,0.63,1.0,1.0,1.0,0.459,0.357,0.793,True,
90,0.693,0.998,0.999,0.867,0.431,0.526,0.793,True,
91,0.695,0.991,1.0,1.0,0.425,0.377,0.799,True,
92,0.965,1.0,0.999,1.0,0.094,0.339,0.79,True,
93,0.98,1.0,0.999,1.0,0.094,0.339,0.792,True,
94,0.903,0.997,0.992,0.867,0.346,0.377,0.792,True,
95,0.844,0.998,0.997,0.733,0.132,0.455,0.722,True,
96,0.779,0.995,1.0,1.0,0.455,0.357,0.817,True,
