gcp_id,src_x,src_y,ref_x,ref_y,confidence
171,207.67897033691406,249.93646240234375,212.8706817626953,242.35232543945312,0.896
132,189.31109619140625,105.4457778930664,201.98196411132812,98.87137603759766,0.878
126,184.54110717773438,245.51751708984375,190.89486694335938,237.97842407226562,0.879
229,246.84890747070312,17.387922286987305,263.4635009765625,14.437986373901367,0.878
134,190.0720977783203,92.01667785644531,203.312255859375,85.4268798828125,0.876
161,203.4915313720703,244.74185180664062,207.9420928955078,237.33106994628906,0.896
190,218.88987731933594,98.37178802490234,231.90560913085938,93.05973815917969,0.86
56,130.06732177734375,204.37835693359375,139.1419219970703,193.11863708496094,0.861
86,155.05752563476562,60.85669708251953,170.2164764404297,53.45833969116211,0.869
15,48.38680648803711,166.36366271972656,58.99419021606445,151.95982360839844,0.871
73,146.92172241210938,40.92691421508789,163.1124267578125,33.27248764038086,0.878
237,251.95211791992188,161.63356018066406,261.9629821777344,157.90013122558594,0.866
204,227.94671630859375,110.89201354980469,240.08787536621094,106.60881042480469,0.86
235,250.4670867919922,12.3748779296875,267.2926940917969,9.544268608093262,0.863
225,238.01243591308594,151.22471618652344,248.93663024902344,146.6229248046875,0.868
185,216.82113647460938,294.73321533203125,220.02285766601562,288.08880615234375,0.845
137,192.85105895996094,171.37246704101562,202.57203674316406,164.0282440185547,0.854
252,265.0599060058594,333.7633972167969,266.02410888671875,328.8803405761719,0.838
28,79.48211669921875,133.01934814453125,91.91814422607422,121.69160461425781,0.88
210,230.05935668945312,286.6023864746094,233.4393310546875,281.15673828125,0.847
3,33.6695442199707,162.99681091308594,45.33881378173828,148.14431762695312,0.847
41,112.74461364746094,157.71546936035156,123.18745422363281,147.00485229492188,0.831
13,43.079044342041016,203.0457305908203,53.818050384521484,189.0453643798828,0.855
71,145.09375,314.62579345703125,148.72193908691406,305.2017517089844,0.844
124,184.13275146484375,258.6104736328125,189.39915466308594,250.86802673339844,0.877
